timestamp,utilized_mw,available_mw,source_file,is_gap,hour,day,dayofweek,month,year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1h,lag_24h,lag_168h,roll_24h_mean,roll_168h_mean,util_ratio
2022-01-01 00:00:00,69.6,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,0,1,5,1,2022,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,,,,,,0.8188235294117646
2022-01-01 01:00:00,71.3,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,1,1,5,1,2022,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,69.6,,,,,0.8388235294117646
2022-01-01 02:00:00,70.7,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,2,1,5,1,2022,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,71.3,,,,,0.831764705882353
2022-01-01 03:00:00,67.0,86.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,3,1,5,1,2022,1,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,70.7,,,,,0.7790697674418605
2022-01-01 04:00:00,62.9,86.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,4,1,5,1,2022,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,67.0,,,,,0.7313953488372092
2022-01-01 05:00:00,60.4,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,5,1,5,1,2022,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,62.9,,,,,0.7105882352941176
2022-01-01 06:00:00,60.8,86.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,6,1,5,1,2022,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,60.4,,,,,0.7069767441860465
2022-01-01 07:00:00,58.6,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,7,1,5,1,2022,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,60.8,,,,,0.6894117647058824
2022-01-01 08:00:00,57.8,85.5,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,8,1,5,1,2022,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,58.6,,,,,0.6760233918128654
2022-01-01 09:00:00,59.89,86.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,9,1,5,1,2022,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,57.8,,,,,0.6963953488372093
2022-01-01 10:00:00,60.6,85.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,10,1,5,1,2022,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,59.89,,,,,0.7129411764705883
2022-01-01 11:00:00,63.3,84.9,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,11,1,5,1,2022,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,60.6,,,63.57416666666666,,0.7455830388692579
2022-01-01 12:00:00,63.45,89.5,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,12,1,5,1,2022,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,63.3,,,63.56461538461539,,0.7089385474860336
2022-01-01 13:00:00,65.4,90.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,13,1,5,1,2022,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,63.45,,,63.69571428571429,,0.7266666666666667
2022-01-01 14:00:00,59.44,88.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,14,1,5,1,2022,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,65.4,,,63.412,,0.6754545454545454
2022-01-01 15:00:00,66.6,88.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,15,1,5,1,2022,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,59.44,,,63.61125,,0.7568181818181817
2022-01-01 16:00:00,67.76,87.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,16,1,5,1,2022,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,66.6,,,63.855294117647055,,0.7788505747126437
2022-01-01 17:00:00,67.01,87.5,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,17,1,5,1,2022,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,67.76,,,64.03055555555555,,0.7658285714285715
2022-01-01 18:00:00,66.52,87.5,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,18,1,5,1,2022,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,67.01,,,64.16157894736841,,0.7602285714285714
2022-01-01 19:00:00,64.08,88.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,19,1,5,1,2022,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,66.52,,,64.1575,,0.7281818181818182
2022-01-01 20:00:00,72.85,87.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,20,1,5,1,2022,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,64.08,,,64.57142857142857,,0.8373563218390804
2022-01-01 21:00:00,76.3,87.5,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,21,1,5,1,2022,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,72.85,,,65.10454545454546,,0.872
2022-01-01 22:00:00,76.11,87.0,Jan 2022 - Generation Vs Utilization- Freetown.xlsx,0,22,1,5,1,2022,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,76.3,,,65.58304347826088,,0.8748275862068965
